epoch,accuracy,loss,val_accuracy,val_loss
0,0.3761417,1.3294775706725934,0.45821326971054077,1.272552251815796
1,0.67146415,0.9715328219852188,0.6858789920806885,0.8847414500775186
2,0.7982286,0.5676468254257495,0.7175792455673218,0.7461452475542294
3,0.85386103,0.40644221089897875,0.7089337110519409,0.7569143382204369
4,0.8873512,0.3221416736520165,0.7175792455673218,0.7983001331431034
5,0.90977025,0.25844745222069765,0.7002881765365601,0.8315266377644168
6,0.92776084,0.21959927808436666,0.6858789920806885,0.896228501020316
7,0.9404927,0.18162986150729568,0.6974063515663147,0.9559849469737292
8,0.95017993,0.15637758550322553,0.7002881765365601,0.9835627783272384
9,0.9590368,0.1319690773419782,0.6916426420211792,1.019075127774769
10,0.9606975,0.12599120584182252,0.680115282535553,1.0947902731661838
11,0.9690008,0.10699644735108245,0.6714697480201721,1.1549829691219056
12,0.9687241,0.1004535505729074,0.6743515729904175,1.2046664874217008
13,0.96983117,0.09397102139710786,0.6916426420211792,1.2316087364119823
14,0.970108,0.09250576569011279,0.6772334575653076,1.3217844980250861
15,0.97204536,0.08369201543198838,0.6829971075057983,1.2720703766050532
16,0.97481316,0.08244479396667898,0.6714697480201721,1.3022926925582226
17,0.97508997,0.075088268115502,0.6916426420211792,1.3225952912476289
18,0.97232217,0.0849307994704942,0.6916426420211792,1.3704157627968692
19,0.97481316,0.07796464383307254,0.6887608170509338,1.3699553682756012
20,0.9767506,0.06875304158064523,0.6772334575653076,1.3987818654057615
21,0.9756435,0.06812982251102076,0.6887608170509338,1.410896111977547
22,0.9770274,0.06891165819321185,0.6743515729904175,1.4531954100908395
23,0.9778577,0.06195584761941331,0.6772334575653076,1.4512083104433176
24,0.9770274,0.0645472103956166,0.680115282535553,1.488339685225693
